person_age,person_gender,person_income,person_emp_exp,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status,person_education_Bachelor,person_education_Doctorate,person_education_High School,person_education_Master,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE
26.0,1,316466.0,6,10000.0,11.01,0.03,4.0,579,0,1,0,0,1,0,0,0,0,1,0,0,0,0
25.0,1,267671.0,0,25000.0,15.7,0.09,2.0,582,0,1,0,0,0,0,0,0,0,0,0,1,0,0
22.0,0,85191.0,0,29100.0,15.99,0.34,3.0,700,0,1,0,0,0,1,0,0,1,1,0,0,0,0
22.0,0,15013.0,0,1500.0,14.84,0.1,3.0,688,0,0,0,0,0,0,0,0,0,1,0,0,0,0
26.0,0,313100.0,3,28000.0,10.99,0.09,3.0,607,1,0,1,0,0,0,0,1,0,0,1,0,0,0
25.0,1,311952.0,0,20000.0,14.42,0.06,2.0,661,1,0,1,0,0,0,0,0,0,0,1,0,0,0
24.0,0,306897.0,5,9600.0,6.99,0.03,2.0,562,1,0,0,0,1,0,0,0,0,1,0,0,0,0
25.0,1,301136.0,0,25000.0,13.49,0.08,4.0,664,1,0,1,0,0,0,0,0,1,0,0,1,0,0
25.0,0,15162.0,1,3000.0,11.01,0.2,3.0,564,0,1,0,0,1,0,0,1,0,0,0,1,0,0
22.0,0,69042.0,0,28000.0,11.01,0.41,2.0,598,0,1,0,0,0,0,0,0,1,0,0,1,0,0
21.0,1,15307.0,0,3000.0,13.61,0.2,3.0,557,0,1,0,0,1,0,0,1,0,1,0,0,0,0
23.0,1,79183.0,0,28000.0,7.9,0.35,2.0,677,0,1,0,0,0,0,0,0,1,1,0,0,0,0
26.0,0,102654.0,4,28000.0,7.49,0.27,3.0,690,0,1,1,0,0,0,0,0,1,0,0,0,0,1
26.0,0,15229.0,1,6100.0,7.51,0.4,3.0,599,0,1,0,0,0,0,0,1,0,1,0,0,0,0
22.0,0,106566.0,0,28000.0,9.91,0.26,3.0,604,0,1,0,0,1,0,0,0,1,0,0,0,0,1
21.0,1,15252.0,0,4200.0,13.48,0.28,4.0,663,0,1,1,0,0,0,0,1,0,0,0,0,1,0
22.0,0,15432.0,3,4750.0,7.14,0.31,2.0,601,0,1,1,0,0,0,0,1,0,0,0,0,0,0
24.0,0,100332.0,1,28000.0,15.99,0.28,4.0,634,0,1,0,0,1,0,0,0,1,0,0,0,0,1
24.0,0,300951.0,2,18000.0,12.98,0.06,3.0,671,0,0,1,0,0,0,0,0,1,1,0,0,0,0
144.0,0,300616.0,125,4800.0,13.57,0.02,3.0,789,0,0,1,0,0,0,0,0,1,0,0,0,0,1
25.0,1,121062.0,1,28000.0,12.69,0.23,3.0,622,0,0,1,0,0,0,0,0,1,0,0,0,0,0
26.0,0,133372.0,1,28000.0,8.9,0.21,2.0,538,1,0,0,0,0,0,0,0,1,1,0,0,0,0
26.0,0,15505.0,0,2700.0,11.01,0.17,4.0,587,0,1,1,0,0,0,0,1,0,0,0,0,0,0
22.0,0,130852.0,0,28000.0,11.01,0.21,4.0,683,0,1,0,0,0,1,0,0,1,1,0,0,0,0
23.0,0,182316.0,0,28000.0,11.11,0.15,2.0,634,1,0,0,0,0,0,0,0,1,0,0,0,0,0
24.0,1,83853.0,3,27600.0,11.01,0.33,2.0,690,0,1,1,0,0,0,0,0,1,0,1,0,0,0
21.0,1,15394.0,0,3250.0,15.68,0.21,3.0,518,0,1,1,0,0,0,0,0,0,0,0,0,0,0
22.0,1,85243.0,0,27500.0,13.06,0.32,3.0,583,0,1,1,0,0,0,0,0,1,1,0,0,0,0
22.0,0,288907.0,2,25000.0,11.01,0.09,2.0,617,1,0,0,0,0,0,0,1,0,0,0,0,1,0
26.0,0,89074.0,4,27050.0,15.62,0.3,2.0,668,0,1,0,0,0,0,0,0,1,0,0,0,0,1
24.0,0,100509.0,2,27000.0,13.49,0.27,2.0,673,0,1,0,0,0,1,0,0,1,0,0,0,1,0
24.0,0,88950.0,3,27000.0,11.01,0.3,3.0,706,0,1,0,0,1,0,0,0,1,0,0,0,0,1
23.0,1,75894.0,1,26000.0,11.71,0.34,2.0,536,0,1,0,0,1,0,0,0,1,0,0,1,0,0
23.0,0,145092.0,0,25600.0,12.69,0.18,3.0,557,1,0,0,0,0,0,0,0,1,1,0,0,0,0
24.0,1,15928.0,1,1600.0,13.57,0.1,3.0,689,1,0,1,0,0,0,0,1,0,0,0,1,0,0
22.0,0,73131.0,3,25475.0,10.99,0.35,3.0,681,0,1,1,0,0,0,0,0,1,0,0,0,0,1
25.0,0,281501.0,4,20000.0,14.27,0.07,4.0,623,1,0,0,0,0,1,0,0,0,0,0,1,0,0
24.0,1,281775.0,0,20000.0,8.88,0.07,4.0,595,1,0,0,0,0,0,0,1,0,0,1,0,0,0
26.0,0,281792.0,1,21600.0,12.18,0.08,3.0,584,1,0,1,0,0,0,0,0,0,0,1,0,0,0
25.0,0,266090.0,4,11900.0,14.42,0.04,3.0,669,0,1,1,0,0,0,0,0,0,0,0,0,0,0
26.0,0,279664.0,3,25000.0,14.17,0.09,2.0,642,1,0,0,0,1,0,0,0,0,0,0,1,0,0
25.0,1,277017.0,4,35000.0,13.99,0.13,4.0,622,1,0,0,0,1,0,0,0,0,0,0,1,0,0
23.0,0,100756.0,0,25300.0,10.99,0.25,3.0,689,0,1,0,0,0,0,0,0,1,1,0,0,0,0
22.0,0,16218.0,1,2000.0,5.42,0.12,4.0,614,0,1,0,0,1,0,0,0,0,0,0,0,1,0
25.0,1,16211.0,2,1750.0,13.61,0.11,3.0,597,1,0,1,0,0,0,0,1,0,0,0,0,1,0
21.0,1,51922.0,3,25000.0,12.73,0.48,3.0,673,0,1,1,0,0,0,0,0,1,1,0,0,0,0
24.0,0,50309.0,3,25000.0,11.01,0.5,3.0,625,0,1,0,0,0,0,0,0,1,0,1,0,0,0
25.0,0,16378.0,0,3000.0,12.87,0.18,4.0,603,0,1,0,0,1,0,0,1,0,0,0,0,0,0
24.0,0,16572.0,0,3650.0,9.91,0.22,3.0,589,0,1,1,0,0,0,0,0,0,0,1,0,0,0
26.0,0,272201.0,5,20000.0,11.49,0.07,4.0,670,1,0,0,0,0,1,0,0,0,0,1,0,0,0
25.0,1,271324.0,3,30000.0,19.91,0.11,2.0,637,1,0,1,0,0,0,0,0,0,0,1,0,0,0
26.0,0,256862.0,2,35000.0,10.65,0.14,2.0,643,0,1,0,0,0,0,0,0,0,1,0,0,0,0
24.0,0,271342.0,0,6000.0,11.01,0.02,4.0,508,1,0,0,0,1,0,0,0,1,0,0,1,0,0
24.0,0,16470.0,2,4500.0,11.83,0.27,4.0,643,0,1,0,0,1,0,0,0,0,0,0,0,0,0
23.0,0,16599.0,0,2400.0,13.49,0.14,2.0,505,0,1,0,0,1,0,0,1,0,0,0,0,0,0
22.0,0,51608.0,0,25000.0,14.59,0.48,2.0,593,0,1,1,0,0,0,0,0,1,0,0,1,0,0
26.0,1,58516.0,6,25000.0,9.64,0.43,4.0,686,0,1,0,0,0,1,0,0,1,1,0,0,0,0
25.0,1,16395.0,4,3600.0,14.59,0.22,3.0,646,0,1,0,0,0,0,0,1,0,0,0,1,0,0
22.0,1,16890.0,0,4750.0,11.01,0.28,3.0,645,0,1,1,0,0,0,0,1,0,1,0,0,0,0
25.0,1,51747.0,3,25000.0,16.35,0.48,3.0,697,0,1,0,0,0,0,0,0,1,1,0,0,0,0
21.0,0,59864.0,0,25000.0,10.99,0.42,2.0,648,0,1,0,0,1,0,0,0,1,1,0,0,0,0
25.0,0,270972.0,1,25000.0,18.67,0.09,2.0,640,1,0,0,0,0,1,0,0,0,0,0,0,0,1
26.0,0,270870.0,5,3000.0,9.32,0.01,4.0,681,0,0,1,0,0,0,0,0,1,1,0,0,0,0
23.0,1,270729.0,0,7500.0,8.63,0.03,2.0,646,0,0,0,0,0,0,0,0,1,0,0,0,0,0
26.0,0,270877.0,4,25000.0,10.08,0.09,2.0,615,1,0,1,0,0,0,0,0,0,0,0,0,0,1
22.0,0,60501.0,0,25000.0,11.83,0.41,3.0,687,0,1,0,0,0,0,0,0,1,0,0,0,1,0
23.0,0,60754.0,1,25000.0,7.9,0.41,3.0,650,0,1,0,0,1,0,0,0,1,0,0,0,0,0
25.0,0,60829.0,0,25000.0,5.99,0.41,2.0,588,0,1,1,0,0,0,0,0,1,0,1,0,0,0
24.0,0,53825.0,2,25000.0,15.33,0.46,2.0,652,0,1,1,0,0,0,0,0,1,0,0,0,0,0
23.0,0,60801.0,0,25000.0,11.83,0.41,4.0,658,0,1,0,0,1,0,0,0,1,0,0,0,0,1
22.0,0,60747.0,0,25000.0,10.36,0.41,2.0,634,0,1,0,0,1,0,0,0,1,0,0,0,0,1
22.0,1,61029.0,0,25000.0,12.23,0.41,3.0,623,0,1,0,0,1,0,0,0,1,0,0,0,0,1
22.0,1,63236.0,0,25000.0,11.11,0.4,4.0,635,0,1,0,0,0,0,0,0,1,1,0,0,0,0
23.0,1,17149.0,0,4950.0,7.9,0.29,4.0,531,0,1,1,0,0,0,0,1,0,0,0,0,0,0
24.0,1,265066.0,4,25000.0,11.58,0.09,2.0,665,1,0,0,0,0,1,0,0,0,1,0,0,0,0
23.0,0,260205.0,2,21000.0,8.9,0.08,3.0,703,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25.0,1,260035.0,5,25000.0,16.07,0.1,3.0,585,1,0,0,0,0,0,0,0,0,1,0,0,0,0
26.0,1,260444.0,4,20000.0,14.22,0.08,2.0,594,0,0,1,0,0,0,0,0,0,1,0,0,0,0
23.0,0,258980.0,0,35000.0,14.79,0.14,3.0,618,1,0,1,0,0,0,0,0,0,0,0,1,0,0
26.0,0,259081.0,2,12000.0,7.88,0.05,2.0,626,1,0,0,0,1,0,0,0,0,1,0,0,0,0
23.0,0,63497.0,0,25000.0,13.22,0.39,2.0,695,0,1,0,0,1,0,0,0,1,0,0,0,1,0
26.0,1,56325.0,2,25000.0,11.86,0.44,4.0,690,0,1,0,1,0,0,0,0,1,0,0,0,0,0
22.0,0,64842.0,0,25000.0,13.43,0.39,4.0,574,0,1,1,0,0,0,0,0,1,1,0,0,0,0
26.0,1,57856.0,0,25000.0,15.28,0.43,2.0,602,0,1,0,0,1,0,0,0,1,0,1,0,0,0
23.0,0,57318.0,0,25000.0,17.93,0.44,2.0,679,0,1,0,0,0,0,0,0,1,0,0,0,0,1
23.0,1,16916.0,2,1400.0,9.25,0.08,4.0,615,0,0,0,0,1,0,0,0,0,1,0,0,0,0
21.0,0,16664.0,0,4500.0,12.98,0.27,4.0,601,0,1,0,0,0,1,0,1,0,0,0,0,0,1
22.0,0,252803.0,0,16000.0,10.62,0.06,4.0,577,1,0,0,0,0,0,0,0,0,0,0,0,0,1
26.0,1,253061.0,3,22000.0,11.83,0.09,4.0,588,1,0,0,0,0,0,0,1,0,0,0,0,1,0
26.0,0,58602.0,8,25000.0,18.43,0.43,2.0,595,0,1,1,0,0,0,0,0,1,0,0,0,0,1
22.0,0,67012.0,2,25000.0,11.01,0.37,4.0,653,0,1,0,0,1,0,0,0,1,1,0,0,0,0
24.0,1,66643.0,3,25000.0,11.01,0.38,4.0,663,0,1,0,0,0,1,0,0,1,0,1,0,0,0
23.0,0,66599.0,0,25000.0,11.36,0.38,3.0,653,0,1,1,0,0,0,0,0,1,1,0,0,0,0
23.0,0,67212.0,2,25000.0,15.65,0.37,3.0,598,0,1,0,0,0,0,0,0,1,1,0,0,0,0
24.0,1,66918.0,1,25000.0,13.22,0.37,4.0,630,0,1,0,0,1,0,0,0,1,0,0,0,1,0
26.0,0,68066.0,2,25000.0,12.87,0.37,2.0,637,0,1,0,0,0,0,0,0,1,0,0,0,0,0
24.0,0,245545.0,1,20000.0,13.04,0.08,3.0,660,1,0,0,0,0,0,0,1,0,0,0,1,0,0
23.0,0,229083.0,0,22000.0,17.58,0.1,3.0,639,0,1,0,0,0,0,0,0,0,1,0,0,0,0
23.0,0,17859.0,0,7750.0,17.04,0.43,4.0,626,0,1,0,0,1,0,0,1,0,0,0,0,1,0
24.0,1,72608.0,3,25000.0,10.99,0.34,3.0,612,0,1,0,0,0,0,0,0,1,0,0,0,1,0
24.0,0,73073.0,1,25000.0,11.11,0.34,3.0,628,0,1,1,0,0,0,0,0,1,0,0,0,1,0
26.0,1,65880.0,2,25000.0,14.83,0.38,2.0,592,0,1,0,0,0,1,0,0,1,0,0,0,0,0
23.0,0,17755.0,1,4000.0,11.01,0.23,3.0,580,0,1,0,0,1,0,0,1,0,0,0,0,0,0
24.0,0,241180.0,3,12000.0,12.69,0.05,2.0,634,0,0,1,0,0,0,0,0,1,0,0,1,0,0
24.0,0,240894.0,3,12000.0,13.49,0.05,2.0,678,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21.0,0,240980.0,0,16000.0,14.65,0.07,4.0,557,1,0,0,0,1,0,0,0,0,1,0,0,0,0
25.0,0,65742.0,3,25000.0,16.82,0.38,4.0,672,0,1,1,0,0,0,0,0,1,0,1,0,0,0
23.0,0,72713.0,0,25000.0,12.73,0.34,3.0,613,0,1,1,0,0,0,0,0,1,0,0,0,1,0
23.0,0,72627.0,3,25000.0,10.25,0.34,4.0,566,0,1,0,0,1,0,0,0,1,0,0,0,1,0
21.0,0,72843.0,0,25000.0,10.99,0.34,4.0,718,0,1,0,0,0,0,0,0,1,1,0,0,0,0
25.0,0,75504.0,4,25000.0,12.73,0.33,2.0,484,0,1,0,0,1,0,0,0,1,0,0,1,0,0
22.0,1,68824.0,0,25000.0,14.96,0.36,3.0,634,0,1,0,0,1,0,0,0,1,0,1,0,0,0
23.0,1,241167.0,2,28000.0,11.01,0.12,2.0,653,1,0,1,0,0,0,0,0,0,1,0,0,0,0
21.0,0,241060.0,0,25000.0,13.99,0.1,2.0,699,0,0,1,0,0,0,0,0,0,0,0,0,0,0
24.0,0,240855.0,0,24000.0,7.49,0.1,4.0,656,1,0,0,0,1,0,0,0,0,0,0,0,0,1
26.0,0,241030.0,3,15000.0,14.79,0.06,3.0,626,1,0,0,0,1,0,0,0,0,1,0,0,0,0
25.0,0,240895.0,2,15500.0,11.99,0.06,2.0,659,0,0,0,0,1,0,0,0,0,0,0,0,0,0
24.0,1,240932.0,4,10000.0,8.49,0.04,4.0,604,1,0,0,0,1,0,0,0,1,1,0,0,0,0
24.0,0,80145.0,1,25000.0,9.91,0.31,2.0,636,0,1,0,0,0,0,0,0,1,1,0,0,0,0
22.0,0,80303.0,0,25000.0,13.06,0.31,3.0,554,0,1,0,0,0,1,0,0,1,1,0,0,0,0
22.0,0,241048.0,0,9000.0,6.17,0.04,4.0,587,1,0,0,0,1,0,0,0,0,0,0,0,0,0
144.0,0,241424.0,121,6000.0,11.86,0.02,2.0,807,0,0,0,0,0,0,0,0,0,1,0,0,0,0
25.0,0,241005.0,4,18000.0,16.32,0.07,3.0,708,1,0,1,0,0,0,0,0,1,1,0,0,0,0
25.0,1,240768.0,2,12000.0,10.38,0.05,2.0,669,1,0,0,0,0,1,0,0,0,0,0,0,0,1
25.0,0,241201.0,2,23050.0,14.35,0.1,3.0,578,0,0,0,0,0,0,0,0,0,0,0,0,1,0
24.0,0,240920.0,5,20000.0,11.01,0.08,3.0,615,0,0,1,0,0,0,0,0,0,0,0,0,0,0
24.0,1,72919.0,1,25000.0,11.01,0.34,2.0,553,0,1,0,0,0,1,0,0,1,0,0,0,0,0
21.0,0,18008.0,0,3000.0,11.01,0.17,4.0,635,0,1,0,0,0,1,0,1,0,0,1,0,0,0
26.0,1,81238.0,3,25000.0,15.21,0.31,2.0,531,0,1,0,0,0,0,0,0,1,0,0,0,1,0
23.0,0,80868.0,1,25000.0,7.9,0.31,4.0,621,0,1,0,0,1,0,0,0,1,1,0,0,0,0
24.0,0,81537.0,1,25000.0,10.99,0.31,3.0,674,0,1,1,0,0,0,0,0,1,0,0,0,0,1
24.0,1,82741.0,0,25000.0,14.09,0.3,3.0,688,0,1,0,0,0,0,0,0,1,0,0,0,1,0
25.0,1,83901.0,3,25000.0,17.49,0.3,2.0,597,0,1,0,0,1,0,0,0,1,0,0,0,1,0
25.0,0,240717.0,1,12000.0,11.48,0.05,3.0,640,0,0,0,0,0,0,0,0,0,1,0,0,0,0
26.0,1,226744.0,0,20000.0,17.74,0.09,2.0,621,0,1,0,0,0,0,0,0,0,0,0,0,0,1
26.0,1,241114.0,5,3000.0,13.92,0.01,3.0,608,1,0,1,0,0,0,0,0,0,0,0,0,1,0
25.0,0,85284.0,3,25000.0,15.21,0.29,3.0,653,0,1,1,0,0,0,0,0,1,1,0,0,0,0
22.0,1,18152.0,0,4000.0,10.99,0.22,3.0,585,0,1,1,0,0,0,0,1,0,0,0,1,0,0
24.0,1,84871.0,3,25000.0,11.86,0.29,4.0,569,0,1,0,0,1,0,0,0,1,1,0,0,0,0
24.0,0,18294.0,2,6000.0,7.49,0.33,3.0,587,0,1,1,0,0,0,0,1,0,0,0,0,1,0
24.0,0,68029.0,1,25000.0,16.49,0.37,4.0,631,0,1,1,0,0,0,0,0,1,0,0,1,0,0
25.0,1,80001.0,4,25000.0,15.33,0.31,2.0,592,0,1,0,0,1,0,0,0,1,0,0,0,0,1
26.0,1,79875.0,6,25000.0,11.58,0.31,4.0,679,0,1,0,0,1,0,0,0,1,0,1,0,0,0
25.0,0,18449.0,1,5375.0,5.79,0.29,2.0,645,0,1,0,0,1,0,0,1,0,1,0,0,0,0
25.0,0,88153.0,0,25000.0,13.11,0.28,2.0,669,0,1,0,0,0,0,0,0,1,0,0,1,0,0
23.0,1,90109.0,0,25000.0,10.36,0.28,3.0,653,0,1,1,0,0,0,0,0,1,0,0,1,0,0
25.0,0,90938.0,1,25000.0,10.36,0.27,2.0,577,0,1,1,0,0,0,0,0,1,0,0,0,0,0
24.0,0,231335.0,0,22000.0,11.01,0.1,2.0,668,1,0,0,0,1,0,0,0,1,0,0,1,0,0
21.0,0,231829.0,0,20000.0,6.54,0.09,4.0,629,0,0,1,0,0,0,0,0,0,0,0,0,0,1
25.0,1,230516.0,4,10000.0,12.53,0.04,4.0,643,0,0,0,0,0,0,0,0,0,0,0,1,0,0
26.0,0,229626.0,0,15000.0,11.01,0.07,3.0,626,0,0,1,0,0,0,0,0,0,0,0,0,1,0
22.0,0,228907.0,0,10000.0,11.01,0.04,3.0,560,1,0,1,0,0,0,0,0,0,0,0,0,0,1
24.0,0,90938.0,0,25000.0,10.25,0.27,4.0,648,0,1,1,0,0,0,0,0,1,1,0,0,0,0
22.0,0,86284.0,0,25000.0,15.95,0.29,4.0,648,0,1,0,0,0,0,0,0,1,1,0,0,0,0
26.0,0,228774.0,3,20000.0,12.18,0.09,4.0,669,1,0,0,0,0,0,0,0,0,0,0,0,0,1
23.0,0,229027.0,2,24000.0,11.83,0.1,3.0,536,1,0,0,0,1,0,0,1,0,0,0,0,1,0
23.0,0,94789.0,1,25000.0,11.01,0.26,2.0,548,0,1,0,0,1,0,0,0,1,0,0,0,0,0
23.0,1,94780.0,0,25000.0,10.62,0.26,3.0,667,0,1,0,0,0,1,0,0,1,0,0,0,0,1
23.0,0,95298.0,0,25000.0,10.74,0.26,3.0,676,0,1,0,0,1,0,0,0,1,0,0,0,0,1
25.0,0,223944.0,1,10000.0,10.25,0.04,4.0,570,1,0,0,0,0,0,0,1,0,0,0,0,0,1
24.0,0,222629.0,0,35000.0,12.42,0.16,2.0,623,0,0,0,0,1,0,0,0,0,1,0,0,0,0
25.0,1,222973.0,2,15000.0,15.27,0.07,2.0,652,1,0,1,0,0,0,0,0,1,0,0,0,0,1
24.0,1,75240.0,1,25000.0,15.33,0.33,2.0,625,0,1,0,0,1,0,0,0,1,0,0,1,0,0
